源文件: 05印光法师文钞三编上册--白话20250307.docx
总段落: 17163  Heading1: 471
分部标记: ['卷一 · 书一', '卷一 · 书一', '卷二 · 书二']

解析出文章数: 469
文白配对段: 4265  独立原文段: 287  独立白话段: 61  注释: 837
逐篇对账: 全部 469 篇 JSON 与文档原文逐字一致 ✓

--- 每篇概况 ---
001 前言                         对  0 原0 白3 注0  [卷首]  ⚠ 独立白话段x3
002 缘起                         对  0 原1 白47 注0  [卷首]  ⚠ 独立白话段x47
003 印光法师文钞三编序                  对  7 原1 白0 注11  [卷首]
004 附记                         对  1 原2 白0 注0  [卷首]
005 大师自述                       对  7 原0 白0 注0  [卷一 · 书一]
006 复弘一大师书                     对  3 原0 白0 注0  [卷一 · 书一]
007 致真达老和尚书                    对  2 原0 白0 注0  [卷一 · 书一]
008 复德森法师书一                    对 10 原1 白0 注3  [卷一 · 书一]
009 致德森法师书二                    对  5 原1 白0 注3  [卷一 · 书一]
010 致德森法师书三                    对  7 原1 白0 注2  [卷一 · 书一]
011 致德森法师书四                    对  9 原0 白0 注0  [卷一 · 书一]
012 复如岑师代友人问书                  对 14 原1 白0 注1  [卷一 · 书一]
013 复如岑法师书                     对 22 原1 白0 注6  [卷一 · 书一]
014 复应脱大师书一                    对  3 原1 白0 注1  [卷一 · 书一]
015 复应脱大师书二                    对  8 原1 白0 注1  [卷一 · 书一]
016 复应脱大师书三                    对  7 原1 白0 注3  [卷一 · 书一]
017 复应脱大师书四                    对  2 原1 白0 注1  [卷一 · 书一]
018 复明心师书                      对 15 原1 白0 注2  [卷一 · 书一]
019 复明性大师书                     对  8 原0 白0 注0  [卷一 · 书一]
020 复义通法师书一                    对  7 原0 白0 注0  [卷一 · 书一]
021 复义通法师书二                    对 11 原1 白0 注2  [卷一 · 书一]
022 复传度和尚书                     对  5 原0 白0 注0  [卷一 · 书一]
023 复尘空法师书一                    对  5 原0 白0 注0  [卷一 · 书一]
