篇号,标题,分册,原文段,白话段,差值
"jx-047","47、复顾显微居士书","白话精选读本","31","32","1"
"jx-050","50、复周孟由昆弟书","白话精选读本","41","42","1"
"jx-052","52、诫吾乡初发心学佛者书","白话精选读本","51","52","1"
"jx-055","55、复善觉大师书（民国二十九年二月 附来书）","白话精选读本","14","12","-2"
"jx-059","59、复念佛居士书","白话精选读本","15","14","-1"
"jx-067","67、挽回劫运护国救民正本清源论","白话精选读本","27","32","5"
"jx-081","81、为在家弟子略说三归五戒十善义","白话精选读本","49","48","-1"
"jx-089","89、净土法门说要（王求是，龚云伯记）","白话精选读本","46","45","-1"
"jx-097","选编说明","白话精选读本","29","19","-10"
"jy-001","印光法师语","嘉言录","1","0","-1"
"jy-005","《印光法师文钞》选读（附录于后）","嘉言录","1","0","-1"
"jy-024","八、释普通疑惑","嘉言录","105","104","-1"
"jy-031","修订说明","嘉言录","6","0","-6"
"jy-032","东林佛号曲谱","嘉言录","6","0","-6"
"jy-033","念佛的心态与音声","嘉言录","15","0","-15"
"jy-034","回向偈","嘉言录","1","0","-1"
"sb1-001","前言","三编 · 上册","0","3","3"
"sb1-002","缘起","三编 · 上册","1","47","46"
"sb1-004","附记","三编 · 上册","3","1","-2"
"sb1-143","复宁德晋居士书二","三编 · 上册","20","19","-1"
"sb1-223","复周伯遒居士书二十","三编 · 上册","2","7","5"
"sb1-224","复周伯遒居士书廿一","三编 · 上册","7","6","-1"
"sb1-251","复谢慧霖居士书二十四","三编 · 上册","13","15","2"
"sb1-266","复张曙蕉居士书五","三编 · 上册","6","5","-1"
"sb1-268","复张曙蕉居士书七","三编 · 上册","12","11","-1"
"sb1-363","复念佛居士书","三编 · 上册","15","14","-1"
"sb1-387","复叶沚芬居士书一","三编 · 上册","14","15","1"
"sb1-399","复方圣照居士书七","三编 · 上册","4","5","1"
"sb2-034","复温光熹居士书十","三编 · 下册","22","23","1"
"sb2-042","复江易园居士书五","三编 · 下册","6","5","-1"
"sb2-072","复黄德炜居士书","三编 · 下册","7","9","2"
"sb2-165","与陈燮和居士书","三编 · 下册","7","8","1"
"sb2-267","彻悟禅师念佛伽陀教义百偈小序","三编 · 下册","2","102","100"
"sb2-300","观世音菩萨本迹感应颂题辞","三编 · 下册","17","15","-2"
"sb2-301","安士全书题辞","三编 · 下册","15","13","-2"
"sb2-317","净土法门说要（王求是，龚云伯记）","三编 · 下册","46","45","-1"
"sb2-334","摩利支天陀罗尼跋","三编 · 下册","4","3","-1"
"sb2-364","文疏","三编 · 下册","52","44","-8"
"sb2-365","上海护国息灾法会法语（邓慧载记录）","三编 · 下册","256","250","-6"
"sbu-001","前言","三编补","0","3","3"
"sbu-002","缘起","三编补","27","20","-7"
"sbu-004","与高鹤年居士书一","三编补","14","12","-2"
